Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Tue;3/26/2019;Brand.com;805;"Sold out";LOS3;684;"No data";559;1;Tue;3/26/2019;Booking.com;825;"Sold out";849;609;753;412;3
Tue;3/26/2019;Booking.com;805;"Sold out";LOS3;709;785;559;1;Tue;3/26/2019;Brand.com;805;"No data";816;584;"No data";401;3
Tue;3/26/2019;Booking.com;805;"Sold out";LOS3;709;785;559;1;Tue;3/26/2019;Booking.com;825;"Sold out";849;609;753;412;3
Tue;3/26/2019;Expedia;805;"Sold out";"Sold out";709;955;559;1;Tue;3/26/2019;Brand.com;805;"No data";816;584;"No data";401;3
Tue;3/26/2019;Expedia;805;"Sold out";"Sold out";709;955;559;1;Tue;3/26/2019;Booking.com;825;"Sold out";849;609;753;412;3
Tue;3/26/2019;GDS;840;"Sold out";"Sold out";709;667;559;1;Tue;3/26/2019;Brand.com;805;"No data";816;584;"No data";401;3
Tue;3/26/2019;GDS;840;"Sold out";"Sold out";709;667;559;1;Tue;3/26/2019;Booking.com;825;"Sold out";849;609;753;412;3
Wed;3/27/2019;Brand.com;865;"Sold out";LOS3;684;"No data";404;1;Wed;3/27/2019;Brand.com;655;"No data";652;421;"No data";253;3
Wed;3/27/2019;Brand.com;865;"Sold out";LOS3;684;"No data";404;1;Wed;3/27/2019;Booking.com;712;"Sold out";702;446;548;233;3
Wed;3/27/2019;Booking.com;915;869;LOS3;709;812;377;1;Wed;3/27/2019;Brand.com;655;"No data";652;421;"No data";253;3
Wed;3/27/2019;Booking.com;915;869;LOS3;709;812;377;1;Wed;3/27/2019;Booking.com;712;"Sold out";702;446;548;233;3
Wed;3/27/2019;Expedia;915;"Sold out";"Sold out";709;785;377;1;Wed;3/27/2019;Brand.com;655;"No data";652;421;"No data";253;3
Wed;3/27/2019;Expedia;915;"Sold out";"Sold out";709;785;377;1;Wed;3/27/2019;Booking.com;712;"Sold out";702;446;548;233;3
Wed;3/27/2019;GDS;865;"Sold out";"Sold out";709;667;404;1;Wed;3/27/2019;Brand.com;655;"No data";652;421;"No data";253;3
Wed;3/27/2019;GDS;865;"Sold out";"Sold out";709;667;404;1;Wed;3/27/2019;Booking.com;712;"Sold out";702;446;548;233;3
Thu;3/28/2019;Brand.com;655;649;749;464;"No data";179;1;Thu;3/28/2019;Brand.com;377;"No data";365;257;"No data";146;3
Thu;3/28/2019;Brand.com;655;649;749;464;"No data";179;1;Thu;3/28/2019;Booking.com;528;436;522;282;421;146;3
Thu;3/28/2019;Booking.com;655;649;799;489;719;179;1;Thu;3/28/2019;Brand.com;377;"No data";365;257;"No data";146;3
Thu;3/28/2019;Booking.com;655;649;799;489;719;179;1;Thu;3/28/2019;Booking.com;528;436;522;282;421;146;3
Thu;3/28/2019;Expedia;655;535;799;489;859;179;1;Thu;3/28/2019;Brand.com;377;"No data";365;257;"No data";146;3
Thu;3/28/2019;Expedia;655;535;799;489;859;179;1;Thu;3/28/2019;Booking.com;528;436;522;282;421;146;3
Thu;3/28/2019;GDS;655;649;749;489;586;179;1;Thu;3/28/2019;Brand.com;377;"No data";365;257;"No data";146;3
Thu;3/28/2019;GDS;655;649;749;489;586;179;1;Thu;3/28/2019;Booking.com;528;436;522;282;421;146;3
Fri;3/29/2019;Brand.com;465;309;309;154;"No data";143;1;Fri;3/29/2019;Brand.com;397;"No data";298;234;"No data";141;3
Fri;3/29/2019;Brand.com;465;309;309;154;"No data";143;1;Fri;3/29/2019;Booking.com;478;382;489;259;314;141;3
Fri;3/29/2019;Booking.com;465;309;409;179;365;143;1;Fri;3/29/2019;Brand.com;397;"No data";298;234;"No data";141;3
